Index,relPosN,relPosE,UTC
1694,0.1568,0.5452,11:16:56.040 03/07/2019
1695,,,
1696,0.1560,0.5442,11:16:56.220 03/07/2019
1697,,,
1698,0.1560,0.5454,11:16:56.340 03/07/2019
1699,,,
1700,0.1560,0.5454,11:16:56.520 03/07/2019
1701,,,
1702,0.1556,0.5452,11:16:56.700 03/07/2019
1703,,,
1704,0.1551,0.5459,11:16:56.880 03/07/2019
1705,,,
1706,0.1529,0.5432,11:16:57.060 03/07/2019
1707,,,
1708,0.1532,0.5434,11:16:57.240 03/07/2019
1709,,,
1710,0.1536,0.5436,11:16:57.420 03/07/2019
1711,,,
1712,0.1562,0.5447,11:16:57.600 03/07/2019
1713,,,
1714,0.1561,0.5446,11:16:57.780 03/07/2019
1715,,,
1716,0.1546,0.5452,11:16:57.960 03/07/2019
1717,,,
1718,0.1545,0.5439,11:16:58.140 03/07/2019
1719,,,
1720,0.1551,0.5442,11:16:58.320 03/07/2019
1721,,,
1722,0.1553,0.5446,11:16:58.500 03/07/2019
1723,,,
1724,0.1555,0.5436,11:16:58.680 03/07/2019
1725,,,
1726,0.1572,0.5451,11:16:58.860 03/07/2019
1727,,,
1728,0.1566,0.5453,11:16:59.040 03/07/2019
1729,,,
1730,0.1570,0.5449,11:16:59.220 03/07/2019
1731,,,
1732,0.1572,0.5450,11:16:59.400 03/07/2019
1733,,,
1734,0.1571,0.5448,11:16:59.580 03/07/2019
1735,,,
1736,0.1569,0.5448,11:16:59.760 03/07/2019
1737,,,
1738,0.1577,0.5455,11:16:59.940 03/07/2019
1739,,,
1740,0.1569,0.5453,11:17:00.180 03/07/2019
1741,,,
1742,0.1576,0.5461,11:17:00.360 03/07/2019
1743,,,
1744,0.1573,0.5455,11:17:00.540 03/07/2019
1745,,,
1746,0.1553,0.5443,11:17:00.720 03/07/2019
1747,,,
1748,0.1563,0.5428,11:17:00.900 03/07/2019
1749,,,
1750,0.1554,0.5423,11:17:01.080 03/07/2019
1751,,,
1752,0.1550,0.5417,11:17:01.260 03/07/2019
1753,,,
1754,0.1549,0.5421,11:17:01.440 03/07/2019
1755,,,
1756,0.1539,0.5419,11:17:01.620 03/07/2019
1757,,,
1758,0.1532,0.5416,11:17:01.800 03/07/2019
1759,,,
1760,0.1532,0.5417,11:17:01.980 03/07/2019
1761,,,
1762,0.1531,0.5412,11:17:02.160 03/07/2019
1763,,,
1764,0.1544,0.5413,11:17:02.340 03/07/2019
1765,,,
1766,0.1546,0.5415,11:17:02.520 03/07/2019
1767,,,
1768,0.1536,0.5411,11:17:02.700 03/07/2019
1769,,,
1770,0.1537,0.5410,11:17:02.940 03/07/2019
1771,,,
1772,0.1531,0.5412,11:17:03.120 03/07/2019
1773,,,
1774,0.1522,0.5412,11:17:03.300 03/07/2019
1775,,,
1776,0.1530,0.5413,11:17:03.480 03/07/2019
1777,,,
1778,0.1522,0.5413,11:17:03.660 03/07/2019
1779,,,
1780,0.1529,0.5424,11:17:03.840 03/07/2019
1781,,,
1782,0.1529,0.5412,11:17:04.020 03/07/2019
1783,,,
1784,0.1493,0.5407,11:17:04.200 03/07/2019
1785,,,
1786,0.1507,0.5412,11:17:04.380 03/07/2019
1787,,,
1788,0.1506,0.5406,11:17:04.560 03/07/2019
1789,,,
1790,0.1503,0.5409,11:17:04.740 03/07/2019
1791,,,
1792,0.1507,0.5414,11:17:04.920 03/07/2019
1793,,,
1794,0.1491,0.5405,11:17:05.100 03/07/2019
1795,,,
1796,0.1495,0.5406,11:17:05.280 03/07/2019
1797,,,
1798,0.1503,0.5418,11:17:05.460 03/07/2019
1799,,,
1800,0.1513,0.5411,11:17:05.640 03/07/2019
1801,,,
1802,0.1508,0.5416,11:17:05.820 03/07/2019
1803,,,
1804,0.1512,0.5411,11:17:06.000 03/07/2019
1805,,,
1806,0.1527,0.5413,11:17:06.180 03/07/2019
1807,,,
1808,0.1536,0.5415,11:17:06.360 03/07/2019
1809,,,
1810,0.1535,0.5408,11:17:06.540 03/07/2019
1811,,,
1812,0.1536,0.5414,11:17:06.720 03/07/2019
1813,,,
1814,0.1540,0.5411,11:17:06.900 03/07/2019
1815,,,
1816,0.1556,0.5398,11:17:07.080 03/07/2019
1817,,,
1818,0.1560,0.5395,11:17:07.260 03/07/2019
1819,,,
1820,0.1554,0.5393,11:17:07.440 03/07/2019
1821,,,
1822,0.1559,0.5392,11:17:07.620 03/07/2019
1823,,,
1824,0.1566,0.5401,11:17:07.800 03/07/2019
1825,,,
1826,0.1566,0.5398,11:17:07.980 03/07/2019
1827,,,
1828,0.1555,0.5391,11:17:08.160 03/07/2019
1829,,,
1830,0.1554,0.5393,11:17:08.340 03/07/2019
1831,,,
1832,0.1572,0.5385,11:17:08.520 03/07/2019
1833,,,
1834,0.1565,0.5384,11:17:08.700 03/07/2019
1835,,,
1836,0.1565,0.5384,11:17:08.880 03/07/2019
1837,,,
1838,0.1563,0.5375,11:17:09.060 03/07/2019
1839,,,
1840,0.1558,0.5375,11:17:09.240 03/07/2019
1841,,,
1842,0.1562,0.5387,11:17:09.420 03/07/2019
1843,,,
1844,0.1568,0.5392,11:17:09.600 03/07/2019
1845,,,
1846,0.1554,0.5390,11:17:09.780 03/07/2019
1847,,,
1848,0.1557,0.5402,11:17:09.960 03/07/2019
1849,,,
1850,0.1559,0.5410,11:17:10.140 03/07/2019
1851,,,
1852,0.1551,0.5409,11:17:10.320 03/07/2019
1853,,,
1854,0.1549,0.5411,11:17:10.560 03/07/2019
1855,,,
1856,0.1551,0.5417,11:17:10.740 03/07/2019
1857,,,
1858,0.1550,0.5414,11:17:10.920 03/07/2019
1859,,,
1860,0.1534,0.5409,11:17:11.100 03/07/2019
1861,,,
1862,0.1533,0.5412,11:17:11.280 03/07/2019
1863,,,
1864,0.1533,0.5403,11:17:11.460 03/07/2019
1865,,,
1866,0.1537,0.5404,11:17:11.640 03/07/2019
1867,,,
1868,0.1532,0.5398,11:17:11.820 03/07/2019
1869,,,
1870,0.1526,0.5404,11:17:12.000 03/07/2019
1871,,,
1872,0.1523,0.5392,11:17:12.180 03/07/2019
1873,,,
1874,0.1519,0.5397,11:17:12.360 03/07/2019
1875,,,
1876,0.1516,0.5390,11:17:12.540 03/07/2019
1877,,,
1878,0.1515,0.5387,11:17:12.720 03/07/2019
1879,,,
1880,0.1520,0.5403,11:17:12.900 03/07/2019
1881,,,
1882,0.1533,0.5416,11:17:13.080 03/07/2019
1883,,,
1884,0.1521,0.5403,11:17:13.260 03/07/2019
1885,,,
1886,0.1528,0.5404,11:17:13.440 03/07/2019
1887,,,
1888,0.1532,0.5406,11:17:13.620 03/07/2019
1889,,,
1890,0.1533,0.5401,11:17:13.800 03/07/2019
1891,,,
1892,0.1542,0.5400,11:17:13.980 03/07/2019
1893,,,
1894,0.1547,0.5406,11:17:14.160 03/07/2019
1895,,,
1896,0.1543,0.5391,11:17:14.340 03/07/2019
1897,,,
1898,0.1553,0.5395,11:17:14.520 03/07/2019
1899,,,
1900,0.1556,0.5390,11:17:14.700 03/07/2019
1901,,,
1902,0.1565,0.5387,11:17:14.880 03/07/2019
1903,,,
1904,0.1571,0.5392,11:17:15.060 03/07/2019
1905,,,
1906,0.1571,0.5372,11:17:15.240 03/07/2019
1907,,,
1908,0.1595,0.5372,11:17:15.420 03/07/2019
1909,,,
1910,0.1594,0.5373,11:17:15.600 03/07/2019
1911,,,
1912,0.1605,0.5373,11:17:15.780 03/07/2019
1913,,,
1914,0.1599,0.5367,11:17:15.960 03/07/2019
1915,,,
1916,0.1608,0.5377,11:17:16.140 03/07/2019
1917,,,
1918,0.1601,0.5369,11:17:16.320 03/07/2019
1919,,,
1920,0.1598,0.5376,11:17:16.500 03/07/2019
1921,,,
1922,0.1595,0.5381,11:17:16.680 03/07/2019
1923,,,
1924,0.1596,0.5370,11:17:16.860 03/07/2019
1925,,,
1926,0.1588,0.5374,11:17:17.040 03/07/2019
1927,,,
1928,0.1585,0.5368,11:17:17.220 03/07/2019
1929,,,
1930,0.1573,0.5374,11:17:17.400 03/07/2019
1931,,,
1932,0.1575,0.5371,11:17:17.580 03/07/2019
1933,,,
1934,0.1566,0.5383,11:17:17.760 03/07/2019
1935,,,
1936,0.1564,0.5383,11:17:17.940 03/07/2019
1937,,,
1938,0.1552,0.5394,11:17:18.120 03/07/2019
1939,,,
1940,0.1541,0.5396,11:17:18.300 03/07/2019
1941,,,
1942,0.1527,0.5376,11:17:18.480 03/07/2019
1943,,,
1944,0.1538,0.5381,11:17:18.660 03/07/2019
1945,,,
1946,0.1529,0.5382,11:17:18.840 03/07/2019
1947,,,
1948,0.1536,0.5393,11:17:19.020 03/07/2019
1949,,,
1950,0.1510,0.5385,11:17:19.200 03/07/2019
1951,,,
1952,0.1499,0.5384,11:17:19.380 03/07/2019
1953,,,
1954,0.1502,0.5390,11:17:19.560 03/07/2019
1955,,,
1956,0.1504,0.5382,11:17:19.740 03/07/2019
1957,,,
1958,0.1506,0.5388,11:17:19.920 03/07/2019
1959,,,
1960,0.1518,0.5395,11:17:20.100 03/07/2019
1961,,,
1962,0.1519,0.5392,11:17:20.280 03/07/2019
1963,,,
1964,0.1505,0.5397,11:17:20.460 03/07/2019
1965,,,
1966,0.1508,0.5392,11:17:20.640 03/07/2019
1967,,,
1968,0.1511,0.5398,11:17:20.820 03/07/2019
1969,,,
1970,0.1516,0.5397,11:17:21.000 03/07/2019
1971,,,
1972,0.1522,0.5400,11:17:21.180 03/07/2019
1973,,,
1974,0.1530,0.5408,11:17:21.360 03/07/2019
1975,,,
1976,0.1534,0.5400,11:17:21.540 03/07/2019
1977,,,
1978,0.1523,0.5397,11:17:21.720 03/07/2019
1979,,,
1980,0.1513,0.5398,11:17:21.900 03/07/2019
1981,,,
1982,0.1522,0.5395,11:17:22.080 03/07/2019
1983,,,
1984,0.1526,0.5387,11:17:22.260 03/07/2019
1985,,,
1986,0.1524,0.5385,11:17:22.440 03/07/2019
1987,,,
1988,0.1529,0.5384,11:17:22.620 03/07/2019
1989,,,
1990,0.1544,0.5377,11:17:22.800 03/07/2019
1991,,,
1992,0.1551,0.5382,11:17:22.980 03/07/2019
1993,,,
1994,0.1540,0.5371,11:17:23.160 03/07/2019
1995,,,
1996,0.1536,0.5378,11:17:23.340 03/07/2019
1997,,,
1998,0.1540,0.5379,11:17:23.520 03/07/2019
1999,,,
2000,0.1576,0.5386,11:17:23.700 03/07/2019
2001,,,
2002,0.1572,0.5387,11:17:23.880 03/07/2019
2003,,,
2004,0.1569,0.5378,11:17:24.060 03/07/2019
2005,,,
2006,0.1575,0.5369,11:17:24.300 03/07/2019
2007,,,
2008,0.1571,0.5372,11:17:24.480 03/07/2019
2009,,,
2010,0.1564,0.5375,11:17:24.660 03/07/2019
2011,,,
2012,0.1565,0.5379,11:17:24.840 03/07/2019
2013,,,
2014,0.1556,0.5384,11:17:25.020 03/07/2019
2015,,,
2016,0.1527,0.5375,11:17:25.200 03/07/2019
2017,,,
2018,0.1528,0.5379,11:17:25.380 03/07/2019
2019,,,
2020,0.1517,0.5388,11:17:25.560 03/07/2019
2021,,,
2022,0.1503,0.5385,11:17:25.740 03/07/2019
2023,,,
2024,0.1504,0.5383,11:17:25.920 03/07/2019
2025,,,
2026,0.1486,0.5387,11:17:26.100 03/07/2019
2027,,,
2028,0.1478,0.5390,11:17:26.280 03/07/2019
2029,,,
2030,0.1445,0.5383,11:17:26.460 03/07/2019
2031,,,
2032,0.1437,0.5379,11:17:26.640 03/07/2019
2033,,,
2034,0.1429,0.5383,11:17:26.820 03/07/2019
2035,,,
2036,0.1431,0.5386,11:17:27.000 03/07/2019
2037,,,
2038,0.1422,0.5377,11:17:27.180 03/07/2019
2039,,,
2040,0.1415,0.5379,11:17:27.360 03/07/2019
2041,,,
2042,0.1407,0.5366,11:17:27.540 03/07/2019
2043,,,
2044,0.1407,0.5370,11:17:27.720 03/07/2019
2045,,,
2046,0.1412,0.5367,11:17:27.900 03/07/2019
2047,,,
2048,0.1412,0.5368,11:17:28.080 03/07/2019
2049,,,
2050,0.1417,0.5367,11:17:28.260 03/07/2019
2051,,,
2052,0.1426,0.5365,11:17:28.440 03/07/2019
2053,,,
2054,0.1424,0.5360,11:17:28.620 03/07/2019
2055,,,
2056,0.1431,0.5356,11:17:28.800 03/07/2019
2057,,,
2058,0.1435,0.5347,11:17:28.980 03/07/2019
2059,,,
2060,0.1439,0.5349,11:17:29.160 03/07/2019
2061,,,
2062,0.1442,0.5342,11:17:29.340 03/07/2019
2063,,,
2064,0.1454,0.5347,11:17:29.520 03/07/2019
2065,,,
2066,0.1460,0.5348,11:17:29.700 03/07/2019
2067,,,
2068,0.1461,0.5339,11:17:29.880 03/07/2019
2069,,,
2070,0.1503,0.5399,11:17:30.060 03/07/2019
2071,,,
2072,0.1516,0.5390,11:17:30.300 03/07/2019
2073,,,
2074,0.1521,0.5355,11:17:30.480 03/07/2019
2075,,,
2076,0.1530,0.5361,11:17:30.660 03/07/2019
2077,,,
2078,0.1533,0.5356,11:17:30.840 03/07/2019
2079,,,
2080,0.1543,0.5355,11:17:31.020 03/07/2019
2081,,,
2082,0.1537,0.5353,11:17:31.200 03/07/2019
2083,,,
2084,0.1567,0.5353,11:17:31.380 03/07/2019
2085,,,
2086,0.1584,0.5361,11:17:31.560 03/07/2019
2087,,,
2088,0.1585,0.5352,11:17:31.740 03/07/2019
2089,,,
2090,0.1586,0.5348,11:17:31.920 03/07/2019
2091,,,
2092,0.1585,0.5350,11:17:32.100 03/07/2019
2093,,,
2094,0.1587,0.5352,11:17:32.280 03/07/2019
2095,,,
2096,0.1591,0.5357,11:17:32.460 03/07/2019
2097,,,
2098,0.1584,0.5347,11:17:32.640 03/07/2019
2099,,,
2100,0.1631,0.5366,11:17:32.820 03/07/2019
2101,,,
2102,0.1634,0.5374,11:17:33.000 03/07/2019
2103,,,
2104,0.1631,0.5365,11:17:33.180 03/07/2019
2105,,,
2106,0.1639,0.5368,11:17:33.360 03/07/2019
2107,,,
2108,0.1639,0.5373,11:17:33.540 03/07/2019
2109,,,
2110,0.1634,0.5362,11:17:33.720 03/07/2019
2111,,,
2112,0.1626,0.5382,11:17:33.900 03/07/2019
2113,,,
2114,0.1615,0.5370,11:17:34.140 03/07/2019
2115,,,
2116,0.1618,0.5364,11:17:34.320 03/07/2019
2117,,,
2118,0.1617,0.5363,11:17:34.500 03/07/2019
2119,,,
2120,0.1584,0.5363,11:17:34.680 03/07/2019
2121,,,
2122,0.1581,0.5364,11:17:34.860 03/07/2019
2123,,,
2124,0.1588,0.5368,11:17:35.040 03/07/2019
2125,,,
2126,0.1587,0.5367,11:17:35.220 03/07/2019
2127,,,
2128,0.1584,0.5357,11:17:35.400 03/07/2019
2129,,,
2130,0.1566,0.5381,11:17:35.580 03/07/2019
2131,,,
2132,0.1569,0.5377,11:17:35.760 03/07/2019
2133,,,
2134,0.1558,0.5371,11:17:35.940 03/07/2019
2135,,,
2136,0.1564,0.5375,11:17:36.180 03/07/2019
2137,,,
2138,0.1558,0.5370,11:17:36.360 03/07/2019
2139,,,
2140,0.1557,0.5374,11:17:36.540 03/07/2019
2141,,,
2142,0.1559,0.5382,11:17:36.720 03/07/2019
2143,,,
2144,0.1559,0.5403,11:17:36.900 03/07/2019
2145,,,
2146,0.1556,0.5396,11:17:37.080 03/07/2019
2147,,,
2148,0.1564,0.5412,11:17:37.260 03/07/2019
2149,,,
2150,0.1559,0.5412,11:17:37.440 03/07/2019
2151,,,
2152,0.1567,0.5418,11:17:37.620 03/07/2019
2153,,,
2154,0.1569,0.5413,11:17:37.800 03/07/2019
2155,,,
2156,0.1566,0.5423,11:17:37.980 03/07/2019
2157,,,
2158,0.1564,0.5426,11:17:38.220 03/07/2019
2159,,,
2160,0.1554,0.5431,11:17:38.400 03/07/2019
2161,,,
2162,0.1564,0.5432,11:17:38.580 03/07/2019
2163,,,
2164,0.1561,0.5427,11:17:38.760 03/07/2019
2165,,,
2166,0.1550,0.5432,11:17:38.940 03/07/2019
2167,,,
2168,0.1567,0.5453,11:17:39.120 03/07/2019
2169,,,
2170,0.1549,0.5440,11:17:39.300 03/07/2019
2171,,,
2172,0.1555,0.5445,11:17:39.480 03/07/2019
2173,,,
2174,0.1560,0.5444,11:17:39.660 03/07/2019
2175,,,
2176,0.1555,0.5453,11:17:39.840 03/07/2019
2177,,,
2178,0.1546,0.5444,11:17:40.020 03/07/2019
2179,,,
2180,0.1543,0.5445,11:17:40.200 03/07/2019
2181,,,
2182,0.1548,0.5455,11:17:40.380 03/07/2019
2183,,,
2184,0.1551,0.5471,11:17:40.560 03/07/2019
2185,,,
2186,0.1545,0.5472,11:17:40.740 03/07/2019
2187,,,
2188,0.1552,0.5476,11:17:40.920 03/07/2019
2189,,,
2190,0.1555,0.5470,11:17:41.100 03/07/2019
2191,,,
2192,0.1561,0.5469,11:17:41.280 03/07/2019
2193,,,
2194,0.1568,0.5475,11:17:41.460 03/07/2019
2195,,,
2196,0.1578,0.5472,11:17:41.640 03/07/2019
2197,,,
2198,0.1591,0.5480,11:17:41.820 03/07/2019
2199,,,
2200,0.1554,0.5468,11:17:42.000 03/07/2019
2201,,,
2202,0.1562,0.5472,11:17:42.240 03/07/2019
2203,,,
2204,0.1577,0.5470,11:17:42.420 03/07/2019
2205,,,
2206,0.1581,0.5457,11:17:42.600 03/07/2019
2207,,,
2208,0.1591,0.5468,11:17:42.780 03/07/2019
2209,,,
2210,0.1599,0.5459,11:17:42.960 03/07/2019
2211,,,
2212,0.1600,0.5461,11:17:43.200 03/07/2019
2213,,,
2214,0.1600,0.5463,11:17:43.380 03/07/2019
2215,,,
2216,0.1609,0.5464,11:17:43.560 03/07/2019
2217,,,
2218,0.1608,0.5465,11:17:43.740 03/07/2019
2219,,,
2220,0.1620,0.5451,11:17:43.920 03/07/2019
2221,,,
2222,0.1623,0.5453,11:17:44.160 03/07/2019
2223,,,
2224,0.1623,0.5427,11:17:44.340 03/07/2019
2225,,,
2226,0.1621,0.5429,11:17:44.520 03/07/2019
2227,,,
2228,0.1616,0.5433,11:17:44.700 03/07/2019
2229,,,
2230,0.1619,0.5437,11:17:44.880 03/07/2019
2231,,,
2232,0.1619,0.5444,11:17:45.060 03/07/2019
2233,,,
2234,0.1618,0.5449,11:17:45.240 03/07/2019
2235,,,
2236,0.1639,0.5442,11:17:45.420 03/07/2019
2237,,,
2238,0.1632,0.5449,11:17:45.600 03/07/2019
2239,,,
2240,0.1643,0.5477,11:17:45.780 03/07/2019
2241,,,
2242,0.1638,0.5476,11:17:45.960 03/07/2019
2243,,,
2244,0.1633,0.5473,11:17:46.140 03/07/2019
2245,,,
2246,0.1626,0.5486,11:17:46.320 03/07/2019
2247,,,
2248,0.1623,0.5490,11:17:46.500 03/07/2019
2249,,,
2250,0.1606,0.5481,11:17:46.680 03/07/2019
2251,,,
2252,0.1600,0.5482,11:17:46.860 03/07/2019
2253,,,
2254,0.1619,0.5476,11:17:47.040 03/07/2019
2255,,,
2256,0.1616,0.5485,11:17:47.220 03/07/2019
2257,,,
2258,0.1596,0.5473,11:17:47.400 03/07/2019
2259,,,
2260,0.1594,0.5466,11:17:47.580 03/07/2019
2261,,,
2262,0.1596,0.5485,11:17:47.760 03/07/2019
2263,,,
2264,0.1594,0.5480,11:17:47.940 03/07/2019
2265,,,
2266,0.1568,0.5498,11:17:48.120 03/07/2019
2267,,,
2268,0.1564,0.5486,11:17:48.300 03/07/2019
2269,,,
2270,0.1553,0.5475,11:17:48.480 03/07/2019
2271,,,
2272,0.1562,0.5477,11:17:48.660 03/07/2019
2273,,,
2274,0.1560,0.5482,11:17:48.840 03/07/2019
2275,,,
2276,0.1557,0.5490,11:17:49.020 03/07/2019
2277,,,
2278,0.1554,0.5492,11:17:49.200 03/07/2019
2279,,,
2280,0.1534,0.5479,11:17:49.380 03/07/2019
2281,,,
2282,0.1537,0.5482,11:17:49.560 03/07/2019
2283,,,
2284,0.1539,0.5464,11:17:49.740 03/07/2019
2285,,,
2286,0.1534,0.5459,11:17:49.920 03/07/2019
2287,,,
2288,0.1538,0.5477,11:17:50.100 03/07/2019
2289,,,
2290,0.1535,0.5478,11:17:50.280 03/07/2019
2291,,,
2292,0.1541,0.5474,11:17:50.460 03/07/2019
2293,,,
2294,0.1544,0.5477,11:17:50.640 03/07/2019
2295,,,
2296,0.1550,0.5478,11:17:50.820 03/07/2019
2297,,,
2298,0.1556,0.5476,11:17:51.000 03/07/2019
2299,,,
2300,0.1555,0.5477,11:17:51.180 03/07/2019
2301,,,
2302,0.1566,0.5481,11:17:51.360 03/07/2019
2303,,,
2304,0.1560,0.5481,11:17:51.540 03/07/2019
2305,,,
2306,0.1570,0.5478,11:17:51.720 03/07/2019
2307,,,
2308,0.1582,0.5481,11:17:51.900 03/07/2019
2309,,,
2310,0.1588,0.5483,11:17:52.080 03/07/2019
2311,,,
2312,0.1589,0.5483,11:17:52.260 03/07/2019
2313,,,
2314,0.1611,0.5487,11:17:52.440 03/07/2019
2315,,,
2316,0.1611,0.5490,11:17:52.620 03/07/2019
2317,,,
2318,0.1612,0.5478,11:17:52.800 03/07/2019
2319,,,
2320,0.1615,0.5469,11:17:52.980 03/07/2019
2321,,,
2322,0.1619,0.5467,11:17:53.160 03/07/2019
2323,,,
2324,0.1625,0.5475,11:17:53.340 03/07/2019
2325,,,
2326,0.1619,0.5476,11:17:53.520 03/07/2019
2327,,,
2328,0.1621,0.5467,11:17:53.700 03/07/2019
2329,,,
2330,0.1623,0.5468,11:17:53.880 03/07/2019
2331,,,
2332,0.1623,0.5469,11:17:54.060 03/07/2019
2333,,,
2334,0.1634,0.5468,11:17:54.300 03/07/2019
2335,,,
2336,0.1628,0.5453,11:17:54.480 03/07/2019
2337,,,
2338,0.1633,0.5460,11:17:54.660 03/07/2019
2339,,,
2340,0.1629,0.5453,11:17:54.840 03/07/2019
2341,,,
2342,0.1630,0.5449,11:17:55.020 03/07/2019
2343,,,
2344,0.1624,0.5419,11:17:55.200 03/07/2019
2345,,,
2346,0.1621,0.5432,11:17:55.380 03/07/2019
2347,,,
2348,0.1620,0.5423,11:17:55.560 03/07/2019
2349,,,
2350,0.1637,0.5428,11:17:55.740 03/07/2019
2351,,,
2352,0.1629,0.5417,11:17:55.920 03/07/2019
2353,,,
2354,0.1626,0.5419,11:17:56.100 03/07/2019
2355,,,
2356,0.1627,0.5413,11:17:56.280 03/07/2019
2357,,,
2358,0.1632,0.5414,11:17:56.460 03/07/2019
2359,,,
2360,0.1633,0.5418,11:17:56.640 03/07/2019
2361,,,
2362,0.1646,0.5427,11:17:56.820 03/07/2019
2363,,,
2364,0.1657,0.5451,11:17:57.000 03/07/2019
2365,,,
2366,0.1675,0.5461,11:17:57.180 03/07/2019
2367,,,
2368,0.1693,0.5484,11:17:57.360 03/07/2019
2369,,,
2370,0.1708,0.5484,11:17:57.540 03/07/2019
2371,,,
2372,0.1671,0.5474,11:17:57.720 03/07/2019
2373,,,
2374,0.1691,0.5435,11:17:57.900 03/07/2019
2375,,,
2376,0.1626,0.5405,11:17:58.080 03/07/2019
2377,,,
2378,0.1620,0.5416,11:17:58.320 03/07/2019
2379,,,
2380,0.1660,0.5462,11:17:58.500 03/07/2019
2381,,,
2382,0.1646,0.5443,11:17:58.680 03/07/2019
2383,,,
2384,0.1642,0.5451,11:17:58.860 03/07/2019
2385,,,
2386,0.1664,0.5446,11:17:59.040 03/07/2019
2387,,,
2388,0.1664,0.5454,11:17:59.220 03/07/2019
2389,,,
2390,0.1659,0.5445,11:17:59.400 03/07/2019
2391,,,
2392,0.1677,0.5460,11:17:59.580 03/07/2019
2393,,,
2394,0.1668,0.5462,11:17:59.760 03/07/2019
2395,,,
2396,0.1676,0.5469,11:17:59.940 03/07/2019
2397,,,
2398,0.1679,0.5476,11:18:00.180 03/07/2019
2399,,,
2400,0.1680,0.5480,11:18:00.360 03/07/2019
2401,,,
2402,0.1675,0.5471,11:18:00.540 03/07/2019
2403,,,
2404,0.1672,0.5487,11:18:00.720 03/07/2019
2405,,,
2406,0.1672,0.5488,11:18:00.900 03/07/2019
2407,,,
2408,0.1676,0.5486,11:18:01.080 03/07/2019
2409,,,
2410,0.1672,0.5488,11:18:01.260 03/07/2019
2411,,,
2412,0.1654,0.5523,11:18:01.440 03/07/2019
2413,,,
2414,0.1659,0.5525,11:18:01.620 03/07/2019
2415,,,
2416,0.1646,0.5520,11:18:01.800 03/07/2019
2417,,,
2418,0.1647,0.5533,11:18:01.980 03/07/2019
2419,,,
2420,0.1630,0.5523,11:18:02.160 03/07/2019
2421,,,
2422,0.1628,0.5526,11:18:02.340 03/07/2019
2423,,,
2424,0.1625,0.5522,11:18:02.520 03/07/2019
2425,,,
2426,0.1623,0.5513,11:18:02.700 03/07/2019
2427,,,
2428,0.1613,0.5528,11:18:02.880 03/07/2019
2429,,,
2430,0.1609,0.5519,11:18:03.060 03/07/2019
2431,,,
2432,0.1605,0.5506,11:18:03.240 03/07/2019
2433,,,
2434,0.1530,0.5446,11:18:03.420 03/07/2019
2435,,,
2436,0.1521,0.5453,11:18:03.600 03/07/2019
2437,,,
2438,0.1528,0.5471,11:18:03.780 03/07/2019
2439,,,
2440,0.1523,0.5472,11:18:03.960 03/07/2019
2441,,,
2442,0.1535,0.5471,11:18:04.140 03/07/2019
2443,,,
2444,0.1517,0.5453,11:18:04.320 03/07/2019
2445,,,
2446,0.1536,0.5468,11:18:04.500 03/07/2019
2447,,,
2448,0.1529,0.5465,11:18:04.680 03/07/2019
2449,,,
2450,0.1549,0.5466,11:18:04.860 03/07/2019
2451,,,
2452,0.1529,0.5482,11:18:05.040 03/07/2019
2453,,,
2454,0.1552,0.5477,11:18:05.220 03/07/2019
2455,,,
2456,0.1564,0.5475,11:18:05.400 03/07/2019
2457,,,
2458,0.1571,0.5485,11:18:05.580 03/07/2019
2459,,,
2460,0.1552,0.5480,11:18:05.760 03/07/2019
2461,,,
2462,0.1561,0.5491,11:18:05.940 03/07/2019
2463,,,
2464,0.1575,0.5490,11:18:06.120 03/07/2019
2465,,,
2466,0.1584,0.5491,11:18:06.300 03/07/2019
2467,,,
2468,0.1586,0.5494,11:18:06.480 03/07/2019
2469,,,
2470,0.1601,0.5498,11:18:06.660 03/07/2019
2471,,,
2472,0.1608,0.5497,11:18:06.840 03/07/2019
2473,,,
2474,0.1616,0.5495,11:18:07.020 03/07/2019
2475,,,
2476,0.1604,0.5501,11:18:07.200 03/07/2019
2477,,,
2478,0.1612,0.5503,11:18:07.380 03/07/2019
2479,,,
2480,0.1606,0.5499,11:18:07.560 03/07/2019
2481,,,
2482,0.1610,0.5495,11:18:07.740 03/07/2019
2483,,,
2484,0.1608,0.5489,11:18:07.920 03/07/2019
2485,,,
2486,0.1604,0.5492,11:18:08.100 03/07/2019
2487,,,
2488,0.1594,0.5485,11:18:08.280 03/07/2019
2489,,,
2490,0.1581,0.5490,11:18:08.460 03/07/2019
2491,,,
2492,0.1576,0.5485,11:18:08.640 03/07/2019
2493,,,
2494,0.1560,0.5481,11:18:08.820 03/07/2019
2495,,,
2496,0.1547,0.5482,11:18:09.000 03/07/2019
2497,,,
2498,0.1542,0.5496,11:18:09.180 03/07/2019
2499,,,
2500,0.1528,0.5486,11:18:09.360 03/07/2019
2501,,,
2502,0.1521,0.5480,11:18:09.540 03/07/2019
2503,,,
2504,0.1519,0.5485,11:18:09.720 03/07/2019
2505,,,
2506,0.1499,0.5480,11:18:09.900 03/07/2019
2507,,,
2508,0.1459,0.5458,11:18:10.080 03/07/2019
2509,,,
2510,0.1468,0.5450,11:18:10.320 03/07/2019
2511,,,
2512,0.1446,0.5462,11:18:10.500 03/07/2019
2513,,,
2514,0.1453,0.5456,11:18:10.680 03/07/2019
2515,,,
