Index,relPosN,relPosE,UTC
277,,,
278,0.8562,0.1392,11:14:47.820 03/07/2019
279,,,
280,0.8593,0.1405,11:14:48.000 03/07/2019
281,,,
282,0.8626,0.1412,11:14:48.180 03/07/2019
283,,,
284,0.8642,0.1414,11:14:48.360 03/07/2019
285,,,
286,0.8526,0.1156,11:14:48.540 03/07/2019
287,,,
288,0.8512,0.1077,11:14:48.720 03/07/2019
289,,,
290,0.8524,0.1080,11:14:48.900 03/07/2019
291,,,
292,0.8534,0.1102,11:14:49.080 03/07/2019
293,,,
294,0.8548,0.1112,11:14:49.260 03/07/2019
295,,,
296,0.8563,0.1125,11:14:49.440 03/07/2019
297,,,
298,0.8566,0.1129,11:14:49.620 03/07/2019
299,,,
300,0.8654,0.0648,11:14:49.800 03/07/2019
301,,,
302,0.8698,0.0491,11:14:49.980 03/07/2019
303,,,
304,0.8720,0.0484,11:14:50.160 03/07/2019
305,,,
306,0.8722,0.0514,11:14:50.340 03/07/2019
307,,,
308,0.8717,0.0551,11:14:50.520 03/07/2019
309,,,
310,0.8720,0.0568,11:14:50.700 03/07/2019
311,,,
312,0.8723,0.0575,11:14:50.880 03/07/2019
313,,,
314,0.8721,0.0575,11:14:51.060 03/07/2019
315,,,
316,0.8783,0.0107,11:14:51.240 03/07/2019
317,,,
318,0.8804,-0.0055,11:14:51.420 03/07/2019
319,,,
320,0.8802,-0.0072,11:14:51.600 03/07/2019
321,,,
322,0.8801,-0.0059,11:14:51.780 03/07/2019
323,,,
324,0.8795,-0.0039,11:14:51.960 03/07/2019
325,,,
326,0.8677,-0.0300,11:14:52.140 03/07/2019
327,,,
328,0.8634,-0.0399,11:14:52.320 03/07/2019
329,,,
330,0.8622,-0.0400,11:14:52.500 03/07/2019
331,,,
332,0.8617,-0.0392,11:14:52.680 03/07/2019
333,,,
334,0.8597,-0.0545,11:14:52.860 03/07/2019
335,,,
336,0.8577,-0.0589,11:14:53.040 03/07/2019
337,,,
338,0.8577,-0.0587,11:14:53.220 03/07/2019
339,,,
340,0.8570,-0.0582,11:14:53.400 03/07/2019
341,,,
342,0.8561,-0.0576,11:14:53.580 03/07/2019
343,,,
344,0.8558,-0.0564,11:14:53.760 03/07/2019
345,,,
346,0.8675,-0.0690,11:14:53.940 03/07/2019
347,,,
348,0.8696,-0.0734,11:14:54.120 03/07/2019
349,,,
350,0.8680,-0.0753,11:14:54.300 03/07/2019
351,,,
352,0.8653,-0.0744,11:14:54.480 03/07/2019
353,,,
354,0.8645,-0.0733,11:14:54.660 03/07/2019
355,,,
356,0.8639,-0.0726,11:14:54.840 03/07/2019
357,,,
358,0.8649,-0.0716,11:14:55.020 03/07/2019
359,,,
360,0.8792,-0.0907,11:14:55.200 03/07/2019
361,,,
362,0.8825,-0.0972,11:14:55.380 03/07/2019
363,,,
364,0.8802,-0.0981,11:14:55.560 03/07/2019
365,,,
366,0.8768,-0.0985,11:14:55.740 03/07/2019
367,,,
368,0.8748,-0.0974,11:14:55.920 03/07/2019
369,,,
370,0.8752,-0.0955,11:14:56.100 03/07/2019
371,,,
